名字,期刊,ISSN,EISSN,最新IF ,5年IF,JCR分区,中科院分区,中科院预警,,,,,,
JOURNAL OF AMERICAN ETHNIC HISTORY,J AM ETHNIC HIST,0278-5927,1936-4695,0.4,0.5,Q1,,,,,,,,
Linguistic Research,LINGUIST RES,1229-1374,1229-1374,0.4,0.4,N/A,,,,,,,,
Film-Philosophy,FILM-PHILOS,1466-4615,1466-4615,0.4,0.4,N/A,,,,,,,,
Sign Language & Linguistics,SIGN LANG LINGUIST,1387-9316,1569-996X,0.4,0.5,Q4,,,,,,,,
Diametros,DIAMETROS,1733-5566,1733-5566,0.4,0.3,N/A,,,,,,,,
Journal of Dynamical Systems and Geometric Theories,J DYN SYST GEOM THE,1726-037X,2169-0057,0.4,0.6,Q4,,,,,,,,
Utopian Studies,UTOPIAN STUD,1045-991X,2154-9648,0.4,0.3,N/A,,,,,,,,
Wacana Seni-Journal of Art Discourse,WACANA SENI,1675-3410,1985-8418,0.4,0.2,N/A,,,,,,,,
Air & Space Law,AIR SPACE LAW,0927-3379,1875-8339,0.4,0.4,Q3,,,,,,,,
ANTHROPOLOGISCHER ANZEIGER,ANTHROPOL ANZ,0003-5548,0003-5548,0.4,0.5,Q3,,,,,,,,
OCEANIC LINGUISTICS,OCEAN LINGUIST,0029-8115,1527-9421,0.4,0.6,N/A,,,,,,,,
PHILOSOPHICAL INVESTIGATIONS,PHILOS INVEST,0190-0536,1467-9205,0.4,0.4,N/A,,,,,,,,
Secular Studies,SECUL STUD,2589-2517,2589-2525,0.4,0.4,N/A,,,,,,,,
University of Western Australia Law Review,UNIV WEST AUST LAW R,0042-0328,0042-0328,0.4,0.3,Q3,,,,,,,,
Acta Mathematica Universitatis Comenianae,ACTA MATH UNIV COMEN,0231-6986,0862-9544,0.4,0.4,Q4,,,,,,,,
European Journal of Comparative Economics,EUR J COMP ECON,1824-2979,1824-2979,0.4,0.8,Q4,,,,,,,,
Journal of International and Comparative Law,J INT COMP LAW,N/A,2313-3775,0.4,N/A,Q3,,,,,,,,
STUDIA SCIENTIARUM MATHEMATICARUM HUNGARICA,STUD SCI MATH HUNG,0081-6906,1588-2896,0.4,0.5,Q4,,,,,,,,
Studies in Ethnicity and Nationalism,STUD ETHN NATL,1473-8481,1754-9469,0.4,1.1,Q4,,,,,,,,
ARCHIVE FOR MATHEMATICAL LOGIC,ARCH MATH LOGIC,0933-5846,1432-0665,0.4,0.5,Q4,,,,,,,,
Journal of Scottish Philosophy,J SCOTT PHILOS,1479-6651,1755-2001,0.4,0.3,N/A,,,,,,,,
BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN,B BELG MATH SOC-SIM,1370-1444,2034-1970,0.4,0.5,Q4,,,,,,,,
INDIAN JOURNAL OF PURE & APPLIED MATHEMATICS,INDIAN J PURE AP MAT,0019-5588,0975-7465,0.4,0.5,Q4,,,,,,,,
MUSEUM INTERNATIONAL,MUSEUM INT,1350-0775,1468-0033,0.4,0.6,N/A,,,,,,,,
Studia Metrica et Poetica,STUD METR POETICA,2346-6901,2346-691X,0.4,0.5,N/A,,,,,,,,
TRANSFORMATION GROUPS,TRANSFORM GROUPS,1083-4362,1531-586X,0.4,0.5,Q4,,,,,,,,
Voprosy Yazykoznaniya,VOPR YAZYKOZNANIYA,0373-658X,0373-658X,0.4,0.3,N/A,,,,,,,,
Journal of Historical Pragmatics,J HIST PRAGMAT,1566-5852,1569-9854,0.4,0.9,Q4,,,,,,,,
TOPIA-Canadian Journal of Cultural Studies,TOPIA,1206-0143,1916-0194,0.4,0.7,Q3,,,,,,,,
China and WTO Review,CHINA WTO REV,2383-8221,2384-4388,0.4,0.3,Q3,,,,,,,,
Connecticut Insurance Law Journal,CONN INSUR LAW J,1081-9436,1081-9436,0.4,0.5,Q3,,,,,,,,
International Journal of African Renaissance Studies,INT J AFR RENAISS ST,1818-6874,1753-7274,0.4,0.4,Q3,,,,,,,,
JOURNAL OF RELIGION IN AFRICA,J RELIG AFR,0022-4200,1570-0666,0.4,0.4,N/A,,,,,,,,
Frontiers of Education in China,FRONT EDUC CHINA,1673-341X,1673-3533,0.4,1.3,Q4,,,,,,,,
International Journal of Mathematics and Computer Science,INT J MATH COMPUT SC,1814-0424,1814-0432,0.4,0.5,Q4,,,,,,,,
Journal of International Arbitration,J INT ARBITR,0255-8106,2212-182X,0.4,0.4,Q3,,,,,,,,
Law and Development Review,LAW DEV REV,2194-6523,1943-3867,0.4,0.4,Q3,,,,,,,,
New York Journal of Mathematics,NEW YORK J MATH,1076-9803,N/A,0.4,0.5,Q4,,,,,,,,
AUSTRALIAN BUSINESS LAW REVIEW,AUST BUS LAW REV,0310-1053,0310-1053,0.4,0.3,Q3,,,,,,,,
Estudos Historicos,ESTUD HIST-BRAZIL,0103-2186,2178-1494,0.4,0.3,Q1,,,,,,,,
ICL Journal-Vienna Journal on International Constitutional Law,ICL J-VIENNA J,2306-3734,1995-5855,0.4,0.4,Q3,,,,,,,,
Japanese Studies,JPN STUD,1037-1397,1469-9338,0.4,0.4,Q3,,,,,,,,
Language Problems & Language Planning,LANG PROBL LANG PLAN,0272-2690,1569-9889,0.4,0.4,Q4,,,,,,,,
Electronic Journal of Graph Theory and Applications,ELECTRON J GRAPH THE,2338-2287,2338-2287,0.4,0.5,Q4,,,,,,,,
NOVUM TESTAMENTUM,NOVUM TESTAMENTUM,0048-1009,N/A,0.4,0.3,N/A,,,,,,,,
Revista de Estudios Andaluces,REV ESTUD ANDAL,0212-8594,2340-2776,0.4,0.4,Q3,,,,,,,,
Southeast Asian Studies,SE ASIAN STUD,2186-7275,2423-8686,0.4,0.6,Q3,,,,,,,,
Anuario de Historia de la Iglesia,ANU HIST IGLESIA,1133-0104,2174-0887,0.4,0.5,N/A,,,,,,,,
International Electronic Journal of Geometry,INT ELECTRON J GEOM,1307-5624,1307-5624,0.4,0.5,Q4,,,,,,,,
JOURNAL OF GROUP THEORY,J GROUP THEORY,1433-5883,1435-4446,0.4,0.4,Q4,,,,,,,,
Journal of Pacific Archaeology,J PAC ARCHAEOL,1179-4704,1179-4712,0.4,0.4,N/A,,,,,,,,
Matematicki Vesnik,MAT VESTN,0025-5165,2406-0682,0.4,0.5,Q4,,,,,,,,
MATHEMATICAL LOGIC QUARTERLY,MATH LOGIC QUART,0942-5616,1521-3870,0.4,0.4,Q4,,,,,,,,
PROCEEDINGS OF THE JAPAN ACADEMY SERIES A-MATHEMATICAL SCIENCES,P JPN ACAD A-MATH,0386-2194,N/A,0.4,0.4,Q4,,,,,,,,
Queen Mary Journal of Intellectual Property,QUEEN MARY J INTELLE,2045-9807,2045-9815,0.4,0.4,Q3,,,,,,,,
TOHOKU MATHEMATICAL JOURNAL,TOHOKU MATH J,0040-8735,0040-8735,0.4,0.6,Q4,,,,,,,,
COLLOQUIUM MATHEMATICUM,COLLOQ MATH-WARSAW,0010-1354,1730-6302,0.4,0.4,Q4,,,,,,,,
Deutsch als Fremdsprache-Zeitschrift zur Theorie und Praxis des Faches Deutsch als Fremdsprache,DEUT FREMDSPRACHE,0011-9741,2198-2430,0.4,0.2,N/A,,,,,,,,
Journal of Law and Social Deviance,J LAW SOC DEVIANCE,2165-5219,2164-4721,0.4,0.3,Q3,,,,,,,,
Theory and Applications of Categories,THEOR APPL CATEG,1201-561X,N/A,0.4,0.6,Q4,,,,,,,,
Advanced Studies-Euro-Tbilisi Mathematical Journal,ADV STUD EURO TBILIS,N/A,2667-9930,0.4,0.4,Q4,,,,,,,,
Contributions to Discrete Mathematics,CONTRIB DISCRET MATH,1715-0868,1715-0868,0.4,0.5,Q4,,,,,,,,
Denver Law Review,DENVER LAW REV,2469-6463,2469-6463,0.4,0.6,Q3,,,,,,,,
Eugene O Neill Review,EUGENE O NEILL REV,1040-9483,2161-4318,0.4,0.3,N/A,,,,,,,,
Kodai Mathematical Journal,KODAI MATH J,0386-5991,0386-5991,0.4,0.4,Q4,,,,,,,,
Notes and Records-The Royal Society Journal of the History of Science,NOTES REC,0035-9149,1743-0178,0.4,0.7,Q3,,,,,,,,
Revista Brasileira de Direito Processual Penal,REV BRAS DIREITO PRO,2359-3881,2525-510X,0.4,0.3,Q3,,,,,,,,
Sixties-A Journal of History Politics and Culture,SIXTIES,1754-1328,1754-1336,0.4,0.7,Q1,,,,,,,,
Techne-Journal of Technology for Architecture and Environment,TECHNE,2239-0243,2239-0243,0.4,0.4,N/A,,,,,,,,
ACTA ARCHAEOLOGICA,ACTA ARCHAEOL-DEN,0065-101X,1600-0390,0.4,0.7,N/A,,,,,,,,
Australasian Journal of Combinatorics,AUSTRALAS J COMB,2202-3518,2202-3518,0.4,0.4,Q4,,,,,,,,
Canadian Journal of Health History,CAN J HEALTH HIST,0823-2105,2371-0179,0.4,0.4,Q3,,,,,,,,
CZECHOSLOVAK MATHEMATICAL JOURNAL,CZECH MATH J,0011-4642,1572-9141,0.4,0.4,Q4,,,,,,,,
History of Education,HIST EDUC,0046-760X,1464-5130,0.4,0.6,Q3,,,,,,,,
HOPOS-The Journal of the International Society for the History of Philosophy of Science,HOPOS,2152-5188,2156-6240,0.4,0.7,Q3,,,,,,,,
JOURNAL OF LIE THEORY,J LIE THEORY,0949-5932,0949-5932,0.4,0.4,Q4,,,,,,,,
JOURNAL OF MUSICOLOGICAL RESEARCH,J MUSICOL RES,0141-1896,1547-7304,0.4,0.3,N/A,,,,,,,,
Matematiche,MATEMATICHE,0373-3505,2037-5298,0.4,0.4,Q4,,,,,,,,
OCEANIA,OCEANIA,0029-8077,1834-4461,0.4,0.8,Q3,,,,,,,,
Beitrage zur Algebra und Geometrie-Contributions to Algebra and Geometry,BEITR ALGEBR GEOM,0138-4821,2191-0383,0.4,0.4,Q4,,,,,,,,
Enseignement Mathematique,ENSEIGN MATH,0013-8584,2309-4672,0.4,0.6,Q4,,,,,,,,
FIBONACCI QUARTERLY,FIBONACCI QUART,0015-0517,0015-0517,0.4,0.4,Q4,,,,,,,,
Iranian Journal of Mathematical Sciences and Informatics,IRAN J MATH SCI INFO,1735-4463,2008-9473,0.4,0.4,Q4,,,,,,,,
JOURNAL OF THE POLYNESIAN SOCIETY,J POLYNESIAN SOC,0032-4000,2230-5955,0.4,0.4,Q3,,,,,,,,
Linguistics of the Tibeto-Burman Area,LINGUIST TIBETO-BURM,0731-3500,2214-5907,0.4,0.4,N/A,,,,,,,,
OCTOBER,OCTOBER,0162-2870,1536-013X,0.4,0.5,N/A,,,,,,,,
Sao Paulo Journal of Mathematical Sciences,SAO PAULO J MATH SCI,1982-6907,2316-9028,0.4,0.5,Q4,,,,,,,,
Siberian Electronic Mathematical Reports-Sibirskie Elektronnye Matematicheskie Izvestiya,SIB ELECTRON MATH RE,1813-3304,1813-3304,0.4,0.4,Q4,,,,,,,,
Advances in Group Theory and Applications,ADV GROUP THEOR APPL,2499-1287,2499-1287,0.4,0.6,Q4,,,,,,,,
AMERICAN MATHEMATICAL MONTHLY,AM MATH MON,0002-9890,1930-0972,0.4,0.5,Q4,,,,,,,,
CRITICAL REVIEW,CRIT REV,0891-3811,1933-8007,0.4,1.2,Q4,,,,,,,,
Gaming Law Review-Economics Regulation Compliance and Policy,GAMING LAW REV,2572-5300,2572-5327,0.4,0.5,Q3,,,,,,,,
Journal of Applied Economics and Business Research,J APPL ECON BUS RES,1927-033X,1927-033X,0.4,0.9,Q4,,,,,,,,
Language Documentation & Conservation,LANG DOC CONSERV,1934-5275,1934-5275,0.4,0.6,Q4,,,,,,,,
Missouri Journal of Mathematical Sciences,MO J MATH SCI,0899-6180,1085-2581,0.4,0.5,Q4,,,,,,,,
RACAR-REVUE D ART CANADIENNE-CANADIAN ART REVIEW,RACAR,0315-9906,1918-4778,0.4,0.3,N/A,,,,,,,,
REVUE DE LINGUISTIQUE ROMANE,REV LINGUIST ROMAN,0035-1458,N/A,0.4,0.3,N/A,,,,,,,,
Spanish in Context,SPAN CONTEXT,1571-0718,1571-0726,0.4,0.5,Q4,,,,,,,,
Applied Mathematics E-Notes,APPL MATH E-NOTES,N/A,1607-2510,0.4,0.4,Q4,,,,,,,,
Review of Austrian Economics,REV AUSTRIAN ECON,0889-3047,1573-7128,0.4,0.7,Q4,,,,,,,,
English Academy Review-Southern African Journal of English Studies,ENGL ACAD REV,1013-1752,1753-5360,0.4,0.4,N/A,,,,,,,,
International Journal of Continuing Engineering Education and Life-Long Learning,INT J CONTIN ENG EDU,1560-4624,1741-5055,0.4,0.4,Q4,,,,,,,,
Notes on Number Theory and Discrete Mathematics,NOTES NUMBER THEORY,1310-5132,2367-8275,0.4,0.3,Q4,,,,,,,,
Revista Signos,REV SIGNOS,0718-0934,0718-0934,0.4,0.6,Q4,,,,,,,,
Studies in Self-Access Learning Journal,STUD SELF-ACCESS LEA,2185-3762,2185-3762,0.4,0.5,Q4,,,,,,,,
Alpine Entomology,ALP ENTOMOL,N/A,2535-0889,0.4,0.8,Q4,,,,,,,,
Anuario Colombiano de Derecho Internacional-ACDI,ANU COLOMB DERECHO I,2027-1131,2145-4493,0.4,0.5,Q3,,,,,,,,
COMPUTATIONAL GEOMETRY-THEORY AND APPLICATIONS,COMP GEOM-THEOR APPL,0925-7721,1879-081X,0.4,0.5,Q4,,,,,,,,
HERALD OF THE RUSSIAN ACADEMY OF SCIENCES,HER RUSS ACAD SCI+,1019-3316,1555-6492,0.4,0.5,Q4,,,,,,,,
Korean Journal of Mathematics,KOREAN J MATH,1976-8605,2288-1433,0.4,0.3,Q4,,,,,,,,
South African Journal of African Languages,S AFR J AFR LANG,0257-2117,2305-1159,0.4,0.3,N/A,,,,,,,,
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABH MATH SEM HAMBURG,0025-5858,1865-8784,0.4,0.4,Q4,,,,,,,,
Australian Journal of Linguistics,AUST J LINGUIST,0726-8602,1469-2996,0.4,0.8,Q4,,,,,,,,
Girlhood Studies-An Interdisciplinary Journal,GIRLHOOD STUD,1938-8209,1938-8322,0.4,0.9,Q3,,,,,,,,
Journal of Computational Geometry,J COMPUT GEOM,1920-180X,1920-180X,0.4,0.7,Q4,,,,,,,,
Journal of HIV-AIDS & Social Services,J HIV-AIDS SOC SERV,1538-1501,1538-151X,0.4,0.7,Q4,,,,,,,,
ORNIS HUNGARICA,ORNIS HUNGARICA,1215-1610,2061-9588,0.4,N/A,Q4,,,,,,,,
Theory of Probability and Mathematical Statistics,THEOR PROBAB MATH ST,0094-9000,1547-7363,0.4,0.6,Q4,,,,,,,,
Critical Horizons,CRIT HORIZ,1440-9917,1568-5160,0.4,0.4,Q3,,,,,,,,
Journal of Asia TEFL,J ASIA TEFL,1738-3102,2466-1511,0.4,0.6,Q4,,,,,,,,
JOURNAL OF CHEMICAL CRYSTALLOGRAPHY,J CHEM CRYSTALLOGR,1074-1542,1572-8854,0.4,0.7,Q4,,,,,,,,
Proceedings of the Steklov Institute of Mathematics,P STEKLOV I MATH+,0081-5438,1531-8605,0.4,0.4,Q4,,,,,,,,
Tokyo Journal of Mathematics,TOKYO J MATH,0387-3870,N/A,0.4,0.4,Q4,,,,,,,,
Torres de Lucca-Revista Internacional de Filosofia Politica,TORRES LUCCA,2255-3827,2255-3827,0.4,0.2,N/A,,,,,,,,
Vestnik St Petersburg University-Mathematics,VESTN ST PETER U-MAT,1063-4541,1934-7855,0.4,0.3,Q4,,,,,,,,
Cognitive Linguistic Studies,COGN LINGUIST STUD,2213-8722,2213-8730,0.4,N/A,N/A,,,,,,,,
European Journal of Pragmatism and American Philosophy,EUR J PRAGMAT AM PHI,2036-4091,2036-4091,0.4,0.4,N/A,,,,,,,,
Human Affairs-Postdisciplinary Humanities & Social Sciences Quarterly,HUM AFF,1210-3055,1337-401X,0.4,0.5,Q3,,,,,,,,
Journal of Applied Journalism & Media Studies,J APPL JOURNAL MEDIA,2001-0818,2049-9531,0.4,0.7,Q4,,,,,,,,
Journal of Economic Sociology-Ekonomicheskaya Sotsiologiya,J ECON SOCIOL,1726-3247,1726-3247,0.4,0.4,Q4,,,,,,,,
Journal of Siberian Federal University-Mathematics & Physics,J SIB FED UNIV-MATH,1997-1397,2313-6022,0.4,0.3,Q4,,,,,,,,
Tyndale Bulletin,TYNDALE BULL,0082-7118,0082-7118,0.4,0.2,N/A,,,,,,,,
Wilson Journal of Ornithology,WILSON J ORNITHOL,1559-4491,1938-5447,0.4,0.6,Q4,,,,,,,,
Analysis in Theory and Applications,ANAL THEOR APPL,1672-4070,1573-8175,0.4,N/A,Q4,,,,,,,,
Archeologia e Calcolatori,ARCHEOL CALC,1120-6861,2385-1953,0.4,0.3,N/A,,,,,,,,
Chinese Journal of Environmental Law,CHINESE J ENV LAW,2468-6034,2468-6042,0.4,N/A,Q3,,,,,,,,
CONTINUITY AND CHANGE,CONTINUITY CHANGE,0268-4160,1469-218X,0.4,0.5,Q3,,,,,,,,
Current Otorhinolaryngology Reports,CURR OTORHINOL REP,N/A,2167-583X,0.4,N/A,Q4,,,,,,,,
French Cultural Studies,FR CULT STUD,0957-1558,1740-2352,0.4,0.3,Q3,,,,,,,,
International Journal of Ethics Education,INT J ETHICS EDUC,2363-9997,2364-0006,0.4,N/A,Q4,,,,,,,,
International Journal of Whole Schooling,INT J WHOLE SCH,1710-2146,1710-2146,0.4,0.7,Q4,,,,,,,,
Korean Linguistics,KOREAN LINGUIST,0257-3784,2212-9731,0.4,0.6,N/A,,,,,,,,
Metode Science Studies Journal,METODE SCI STUD J,2174-3487,2174-9221,0.4,0.4,Q3,,,,,,,,
Obradoiro de Historia Moderna,OBRADOIRO HIST MOD,1133-0481,2340-0013,0.4,0.6,Q1,,,,,,,,
JOURNAL OF MEDIA ECONOMICS,J MEDIA ECON,0899-7764,1532-7736,0.4,N/A,Q4,,,,,,,,
Post-Medieval Archaeology,POST-MEDIEV ARCHAEOL,0079-4236,1745-8137,0.4,0.5,N/A,,,,,,,,
Rechtsmedizin,RECHTSMEDIZIN,0937-9819,1434-5196,0.4,0.4,Q4,,,,,,,,
Revista de Historia Industrial,REV HIST INDUST,1132-7200,2385-3247,0.4,0.4,Q3,,,,,,,,
Vestnik Mezhdunarodnykh Organizatsii-International Organisations Research Journal,VESTN MEZHDUNARODNYK,1996-7845,1996-7845,0.4,0.4,Q4,,,,,,,,
ZEITSCHRIFT FUR DIALEKTOLOGIE UND LINGUISTIK,Z DIALEKTOL LINGUIST,0044-1449,2366-2395,0.4,0.4,Q4,,,,,,,,
ALGEBRA COLLOQUIUM,ALGEBR COLLOQ,1005-3867,0219-1733,0.4,0.5,Q4,,,,,,,,
Annales de Chirurgie Plastique Esthetique,ANN CHIR PLAST ESTH,0294-1260,1768-319X,0.4,0.8,Q4,,,,,,,,
Dixi,DIXI,0124-7255,2357-5891,0.4,0.2,Q3,,,,,,,,
International Critical Thought,INT CRIT THOUGHT,2159-8282,2159-8312,0.4,0.4,Q4,,,,,,,,
Mathematics in Applied Sciences and Engineering,MATH APPL SCI ENG,N/A,2563-1926,0.4,0.5,Q4,,,,,,,,
Proyecto Progreso Arquitectura,PROY PROGRESO ARQUIT,2171-6897,2173-1616,0.4,0.3,N/A,,,,,,,,
Christian Higher Education,CHRIST HIGH EDUC,1536-3759,1539-4107,0.4,0.3,Q4,,,,,,,,
COMPUTER MUSIC JOURNAL,COMPUT MUSIC J,0148-9267,1531-5169,0.4,0.6,N/A,,,,,,,,
EGYPTIAN JOURNAL OF VETERINARY SCIENCE,EGYPT J VET SCI,1110-0222,2357-089X,0.4,0.5,Q4,,,,,,,,
INTERNATIONAL JOURNAL OF MORPHOLOGY,INT J MORPHOL,0717-9502,0717-9367,0.4,0.5,Q4,,,,,,,,
Journal of Livestock Science,J LIVEST SCI,N/A,2277-6214,0.4,0.4,Q4,,,,,,,,
Journal of Peer Learning,J PEER LEARN,2200-2359,2200-2359,0.4,0.8,Q4,,,,,,,,
Journal of Singularities,J SINGUL,1949-2006,1949-2006,0.4,0.4,Q4,,,,,,,,
Papers on Social Representations,PAP SOC REPRESENT,1021-5573,1819-3978,0.4,1,Q4,,,,,,,,
ACTA ZOOLOGICA BULGARICA,ACTA ZOOL BULGAR,0324-0770,N/A,0.4,0.4,Q4,,,,,,,,
AL-QANTARA,AL-QANTARA,0211-3589,1988-2955,0.4,0.4,N/A,,,,,,,,
FUNDAMENTA INFORMATICAE,FUND INFORM,0169-2968,1875-8681,0.4,0.7,Q4,,,,,,,,
Historia y Politica,HIST POLIT,1575-0361,1989-063X,0.4,0.7,Q4,,,,,,,,
JOURNAL OF DENTISTRY FOR CHILDREN,J DENT CHILD,1551-8949,1935-5068,0.4,0.6,Q4,,,,,,,,
Memoirs on Differential Equations and Mathematical Physics,MEM DIFFER EQU MATH,1512-0015,1512-0015,0.4,0.4,Q4,,,,,,,,
Review of Agrarian Studies,REV AGRAR STUD,2249-4405,2248-9002,0.4,0.9,Q4,,,,,,,,
Revista Espanola de Comunicacion en Salud,REV ESP COMUN SALUD,N/A,1989-9882,0.4,0.7,Q4,,,,,,,,
Science Activities-Projects and Curriculum Ideas in STEM Classrooms,SCI ACT,0036-8121,1940-1302,0.4,0.6,Q4,,,,,,,,
Case Reports in Otolaryngology,CASE REP OTOLARYNGOL,2090-6765,2090-6773,0.4,0.7,Q4,,,,,,,,
Egyptian Journal of Otolaryngology,EGYPT J OTOLARYNGOL,1012-5574,2090-8539,0.4,0.4,Q4,,,,,,,,
Estudos Kantianos,ESTUD KANTIANOS,2318-0501,2318-0501,0.4,0.2,N/A,,,,,,,,
International Journal of Intelligence and Counterintelligence,INT J INTELL COUNTER,0885-0607,1521-0561,0.4,0.5,Q4,,,,,,,,
MATHEMATICAL INTELLIGENCER,MATH INTELL,0343-6993,1866-7414,0.4,0.3,Q4,,,,,,,,
Numerical Analysis and Applications,NUMER ANAL APPL,1995-4239,1995-4247,0.4,0.5,Q4,,,,,,,,
Nuncius-Journal of the History of Science,NUNCIUS,0394-7394,1825-3911,0.4,0.4,Q3,,,,,,,,
Occupational Therapy in Mental Health,OCCUP THER MENT HEAL,0164-212X,1541-3101,0.4,0.9,Q4,,,,,,,,
Shima-The International Journal of Research into Island Cultures,SHIMA,1834-6049,1834-6057,0.4,0.6,Q4,,,,,,,,
Social Work-Maatskaplike Werk,SOC WORK-MAATSK WERK,0037-8054,2312-7198,0.4,1.1,Q4,,,,,,,,
Anthropological Notebooks,ANTHROPOL NOTEB,1408-032X,N/A,0.4,0.6,Q3,,,,,,,,
Asian Oncology Nursing,ASIAN ONCOL NURS,2287-2434,2093-7776,0.4,0.5,Q4,,,,,,,,
Canadian Journal of Educational Administration and Policy,CAN J EDUC ADM POLIC,1207-7798,1207-7798,0.4,0.6,Q4,,,,,,,,
Communication Sciences and Disorders-CSD,COMMUN SCI DISORD-CS,2288-1328,2288-0917,0.4,0.4,Q4,,,,,,,,
Handchirurgie Mikrochirurgie Plastische Chirurgie,HANDCHIR MIKROCHIR P,0722-1819,1439-3980,0.4,0.6,Q4,,,,,,,,
How-A Colombian Journal for Teachers of English,HOW,0120-5927,0120-5927,0.4,0.7,Q4,,,,,,,,
International Journal of Criminal Justice Sciences,INT J CRIM JUSTICE S,0973-5089,0973-5089,0.4,0.4,Q4,,,,,,,,
JAPANESE JOURNAL OF VETERINARY RESEARCH,JPN J VET RES,0047-1917,0047-1917,0.4,0.4,Q4,,,,,,,,
Journal of Ancient History and Archaeology,J ANC HIST ARCHAEOL,2360-266X,2360-266X,0.4,0.3,N/A,,,,,,,,
Journal of Applied Mathematics & Informatics,J APPL MATH INFORM,2734-1194,2234-8417,0.4,0.3,Q4,,,,,,,,
Journal of Christian Nursing,J CHRIST NURS,0743-2550,1931-7662,0.4,0.5,Q4,,,,,,,,
KERNTECHNIK,KERNTECHNIK,0932-3902,2195-8580,0.4,0.3,Q4,,,,,,,,
Mirovaya Ekonomika i Mezhdunarodnye Otnosheniya,MIROVAYA EKON MEZHD,0131-2227,0131-2227,0.4,0.3,Q4,,,,,,,,
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-CIVIL ENGINEERING,P I CIVIL ENG-CIV EN,0965-089X,1751-7672,0.4,0.9,Q4,,,,,,,,
Research in Educational Administration & Leadership,RES EDUC ADMIN LEAD,2564-7261,2564-7261,0.4,0.6,Q4,,,,,,,,
Revista Chilena de Derecho y Tecnologia,REV CHIL DERECHO TEC,0719-2576,0719-2584,0.4,0.6,Q3,,,,,,,,
TIERAERZTLICHE PRAXIS AUSGABE GROSSTIERE NUTZTIERE,TIERAERZTL PRAX G N,1434-1220,2567-5834,0.4,0.4,Q4,,,,,,,,
TIERAERZTLICHE PRAXIS AUSGABE KLEINTIERE HEIMTIERE,TIERAERZTL PRAX K H,1434-1239,2567-5842,0.4,0.6,Q4,,,,,,,,
Asian Women,ASIAN WOMEN,1225-925X,2586-5714,0.4,0.8,Q4,,,,,,,,
Eduweb-Revista de Tecnologia de Informacion y Comunicacion en Educacion,EDUWEB-REV TECNOL IN,1856-7576,1856-7576,0.4,0.3,Q4,,,,,,,,
Geopoliticas-Revista de Estudios sobre Espacio y Poder,GEOPOLITICAS,2172-3958,2172-7155,0.4,0.4,Q4,,,,,,,,
ISRAEL JOURNAL OF VETERINARY MEDICINE,ISR J VET MED,0334-9152,2304-8859,0.4,0.3,Q4,,,,,,,,
Laboratorium-Russian Review of Social Research,LAB-RUSS REV SOC RES,2076-8214,2078-1938,0.4,0.6,Q3,,,,,,,,
Population Review,POPUL REV,1549-0955,1549-0955,0.4,0.6,Q4,,,,,,,,
Rehabilitation Research Policy and Education,REHABIL RES POL EDUC,2168-6653,2168-6661,0.4,0.4,Q4,,,,,,,,
Resonance-Journal of Science Education,RESONANCE,0971-8044,0973-712X,0.4,0.4,Q4,,,,,,,,
Review of Economic Perspectives,REV ECON PERSPECT,1213-2446,1804-1663,0.4,0.7,Q4,,,,,,,,
Acta Veterinaria Eurasia,ACTA VET EURASIA,2618-639X,2619-905X,0.4,0.4,Q4,,,,,,,,
Applied Computing Review,APPL COMPUT REV,1559-6915,N/A,0.4,0.7,Q4,,,,,,,,
Case Reports in Plastic Surgery and Hand Surgery,CASE REP PLAST SURG,2332-0885,2332-0885,0.4,0.5,Q4,,,,,,,,
ENTOMOLOGICAL NEWS,ENTOMOL NEWS,0013-872X,2162-3236,0.4,0.4,Q4,,,,,,,,
International Journal of Learning Technology,INT J LEARN TECHNOL,1477-8386,1741-8119,0.4,0.7,Q4,,,,,,,,
Journal of Combinatorics,J COMB,2156-3527,2150-959X,0.4,0.4,Q4,,,,,,,,
Journal of Mathematical Extension,J MATH EXT,1735-8299,1735-8299,0.4,0.4,Q4,,,,,,,,
Macedonian Veterinary Review,MACED VET REV,1409-7621,1857-7415,0.4,N/A,Q4,,,,,,,,
ORIENTAL INSECTS,ORIENT INSECTS,0030-5316,2157-8745,0.4,0.4,Q4,,,,,,,,
Pesquisa Brasileira em Odontopediatria e Clinica Integrada,PESQUI BRAS ODONTOPE,1519-0501,1983-4632,0.4,0.5,Q4,,,,,,,,
Polish Sociological Review,POL SOCIOL REV,1231-1413,1231-1413,0.4,0.6,Q4,,,,,,,,
Poultry Science Journal,POULTRY SCI J,2345-6604,2345-6566,0.4,0.8,Q4,,,,,,,,
SOCIOLOGICKY CASOPIS-CZECH SOCIOLOGICAL REVIEW,SOCIOL CAS,0038-0288,2336-128X,0.4,0.4,Q4,,,,,,,,
Stellenbosch Papers in Linguistics Plus-SPiL Plus,STELL PAP LING PLUS,1726-541X,2224-3380,0.4,0.3,Q4,,,,,,,,
Strategies for Policy in Science and Education-Strategii na Obrazovatelnata i Nauchnata Politika,STRATEG POLICY SCI E,1310-0270,1314-8575,0.4,0.3,Q4,,,,,,,,
